label	sentence
positive	Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .
neutral	The program , which was started in the summer of 2007 , was originally estimated to last approximately two years .
neutral	Trading code : ELI1V Number of shares : 99,483 Price-share : Gratuitous After the transfer , Elisa holds a total of 10,435,023 own shares .
positive	To ensure low operational cost for radio networks , the BTS modules can be configured , software upgraded and diagnosed remotely .
neutral	With the government exempting certain stainless steel products from anti-dumping duties , Finland-based Outokumpu today said it will look to enter into supply pacts with the Indian Railways soon .
negative	Pretax loss totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 .
neutral	Marketing will use Tikkurila 's existing infra structure and local knowledge in Russia .
neutral	Mr Ashley , deputy executive chairman of Sports Direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float .
neutral	Registration is required .
neutral	SWOT analysis is just one method of categorization and has its own weaknesses .
positive	Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .
neutral	The cosmetics collection includes an eye shadow , face powder , lip gloss , mascara and accessories .
positive	Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .
neutral	He joined Rautakirja in 1997 to lead one of its four business areas and took up the position of President and CEO in 2001 .
neutral	During the past 10 years the factory has produced many of Nokia 's most popular models including the Nokia 2760 , the Nokia 6300 as well as Nokia 's latest music device the Nokia 5800 Express Music .
positive	Lemcon signed an investment cooperation agreement with the Kaluga regional administration last November .
neutral	Two other sites will be included later on .
neutral	`` Each year , personal entertainment plays a more significant role in determining whether a fitness facility 's workout experience is pleasurable or a chore , '' said Brian Wilson , director of marketing for Precor 's Entertainment & Services Division .
neutral	The market share of Volkswagen passenger cars in Finland was 10.1 percent , Audi had a market share of 3.1 percent and Seat 's share was 0.9 percent .
neutral	Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .
neutral	According to business media reports , Usmanov planned to transfer his MegaFon stake to the state-controlled Svyazinvest , in exchange for a stake in the merged RosTelecom .
neutral	Pharmaceuticals - Italy This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Italy .
neutral	On Dec. 1 , Grimaldi acquired 1.5 million shares and a 50.1-percent stake in Finnlines .
positive	The company said that it will supply the WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station in East Java , Bali , Sumatra and Batam .
neutral	STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .
neutral	Maggie Ramsey 's wait - and those of thousands of Oregon and Washington guides , anglers and others who flock to his frequent seminars - is nearly over .
positive	The chain posted sales of 298 million euros for full 2005 , a rise of 19.5 percent , year-on-year .
neutral	The duration of the contract is 37 months .
neutral	`` Tweeple should check who 's following them , and be cautious when clicking on URLs and tinyurls . ''
negative	However , the net sales declined to EUR 803.6 million from EUR 1.2 billion .
positive	Cost cutting measures , which have produced around EUR70m of savings over the past nine months , have dampened the airline 's loss , Finnair said .
neutral	Finnish industrial group Ruukki Group Plc OMX Helsinki : RUG1V said on Friday 14 November that its furniture business segment Incap Furniture has concluded personnel negotiations that were started at the end of September .
neutral	The total value of the order , placed by Aspo ' marine transportation subsidiary ESL Shipping Oy , is EUR 60 million ( USD 77.5 m ) .
neutral	Finnish Stockmann Group 's mail order unit Hobby Hall has launched a trial marketing campaign in Russia .
neutral	The fixed acquisition price amounts to NOK 70 ( approximately EUR 8.7 ) million and additional price NOK 15 ( EUR 1.8 ) million at maximum .
negative	Operating profit for 2009 lower than outlook published earlier .
positive	Rautaruukki said construction group YIT has awarded it a 2.5 mln eur contract to supply the steel structures for a new bridge spanning the Kemijoki river in Northern Finland .
neutral	Capital base and capital adequacy measurement is based on approaches under Basel II .
neutral	As the world leaders in developing UV technology for municipal wastewater , drinking water , and industrial water treatment systems , Trojan Technologies was a logical partner in providing W+ñrtsil+ñ with UV technology for ballast water treatment .
neutral	Shareholder 's full name and ID code : - Petri Ailus , born 15.9.1966 For further information , please contact Isto Hantila , CEO , tel. +358 9 591 8342 .
neutral	The total investment in the company will be EUR58m , of which Wartsila 's share will be EUR29m .
neutral	The price of the 10,000 kroon par value bonds was 9663,51 kroons in the primary issue .
positive	ASPO Plc STOCK EXCHANGE ANNOUNCEMENT May 4 , 2006 at 10:00 a.m. An increase in the share capital of Aspo Plc totaling EUR 1,125.60 was registered today .
neutral	- Inge Larsen (CFO), 29,045 shares , representing 0.50 % of the share capital .
positive	`` Stonesoft sees great promise in the future of IPv6 .
positive	`` The new structure provides better communication , faster decision-making and cost savings , '' Proha said .
negative	Operating profit totaled EUR 3.8 mn , down from EUR 4.5 mn in the corresponding period in 2005 .
positive	For Telenor , the three and a half year contract is worth an estimated 12.6 m. YIT has chosen Telenor and Elisa as its principal suppliers of ICT solutions in Norway , Sweden , Denmark and Finland .
neutral	Moreover , Konecranes and Kito intend to transfer the hoist distribution business of Konecranes ' Japanese joint venture MHS Konecranes to Kito .
negative	According to the Latvian business register , Uponor Latvia closed in red with LVL 99,000 EUR 139,538.17 USD 194,556.48 on turnover of LVL 2.346 mn for 2009 .
neutral	LONDON ( AFX ) - Intertek Group PLC , a testing and inspection company , said its commercial and electrical division has bought Finland-based company Natlabs Oy from Etteplan Oyj for 1.3 mln eur in cash .
neutral	LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources .
neutral	Filmiteollisuus Fine Ab will be transferred to Talentum Oyj in the form of a subsidiary .
positive	Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .
positive	The main strength of the cooperation project lies in merging the know-how of two large companies .
negative	The total headcount reduction will be 50 persons , the company said .
neutral	Nordea was the cheapest also for a couple in their 30s with debt .
neutral	`` Ruukki is now included on DJSI World for the second year running and the European DJSI STOXX for the third year running .
neutral	The company had net sales of EUR 19.8 mn and a pre-tax profit of EUR 1.8 mn in 2005 .
neutral	Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .
positive	Grapevine city officials in September approved $ 35 million in tax rebates and grants for the expansion .
positive	Having a China based operation will not only enable us to fully leverage our resources and expertise in wireless solutions , but also strengthen our capability to offer industry-leading products for our customers in China . ''
negative	The Finnish company previously said its operating result will be lower than the break-even posted a year earlier .
positive	Finnish Raute Precision has won large glass batch plant and mortar plant orders from Mexico and the US .
positive	( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera
positive	The acquisition of Boomeranger Boats Oy is in line with the Done Solutions strategy of developing its business through company acquisitions .
neutral	Salcomp 's charger manufacturing plant in India is located in the Nokia Telecom Park in the state of Tamil Nadu , in the eastern part of India .
neutral	Finnish L&T Recoil , a company specialising in used oil regeneration , is building a facility in Hamina in Finland in 2008 .
neutral	The total number of shares in the company will be 585,236,987 Innofactor group Innofactor offers its customers comprehensive solutions in the Microsoft environment .
neutral	Kemira 's partner in the project is St. Petersburg Water Works .
positive	At the same time , sales development in Russia was boosted by the opening of Stockmann Nevsky Centre in St Petersburg .
neutral	The total value of the project is valued at SEK 30bn ( EUR 2.83 bn USD 3.81 bn ) .
neutral	The orders consist in total of over 1,600 panels of lift-away weatherdeck hatch covers and they will be delivered for container vessels with capacities ranging from 2,000 to 13,300 TEUs .
positive	New product launches in Finland will more than double from 2005 .
neutral	In Finland , the five largest brands control 90 % of the beer market .
negative	In September alone , the market declined by 10.2 percent year-on-year to 19.28 million liters .
neutral	Based on the design of previous handsets , the Nokia E72 and Nokia E63 this Symbian-based model is promised to offer direct access to over 90 per cent of the world s corporate email through Mail for Exchange and IBM Lotus Notes Traveler .
neutral	According to Seikku , the retail sector in Finland is controlled by 3-4 large actors , while food manufacturers are still relatively small .
neutral	Iso Omena is based in the Matinkyla district of the southern part of the city of Espoo , southern Finland .
neutral	We offer our clients integrated management consulting , total solutions for complex projects and efficient , best-in-class design and supervision .
neutral	The value of the order is EUR 2.5 mn .
positive	According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .
neutral	The technology park will be built near St. Petersburg-based Pulkovo airport .
positive	Lule+Ñ municipality has awarded YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres .
neutral	The total number of voting rights is 74,612,523 .
neutral	Finnish electrical components maker Salcomp Oyj ( HEL : SAL1V ) announced today the launch of its latest Twist charger platform .
neutral	It said Comptel delivers reliable provisioning and activation solutions which improve fulfilment processes for operators .
neutral	Under a preliminary estimation , the technology park will measure about 50,000 square meters .
neutral	The selling consortium includes funds managed by OKO Bank 's venture capital unit , Bio Fund Management and Finnish Industry Investment , a government-owned investment group .
neutral	The value of the three-year contract is estimated at EUR40m .
negative	The workforce will be reduced also in the Amsterdam office , in the Netherlands .
positive	Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .
neutral	The operations to be sold include manufacturing units in Finland , France , Poland and Turkey , as well as sales units in Germany and Lithuania .
neutral	The company designs , manufactures and markets high-quality clothing , interior decoration textiles , bags and other accessories .
positive	Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .
neutral	Under the transaction agreement , Metsaliitto will purchase 24.7 % of Metsa-Botnia 's shares from UPM and 3 % from M-real .
neutral	Following the divestment , Fiskars 's Outdoor unit will comprise the brands Gerber , Silva and Buster , and will focus on multi-tools , knives , compasses , mobile lighting , pedometers , and aluminium boats .
negative	Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million .
neutral	According to Barclays , the F-Secure software will protect users from hackers , viruses , spyware and other digital attacks .
positive	As a result , the distribution companies will start to distribute , in addition to their current product offering , Shimano reels , rods and other Shimano fishing tackle products on an exclusive basis .
neutral	The chain has been trying to cut its own costs , pressuring vendors such as fitness equipment manufacturer Precor to slash prices .
neutral	Componenta will also offer a five-year subordinated loan for subscription by the public .
neutral	Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 a.m. A telephone conference for financial analysts and investors , conducted in English , will begin at 3:00 p.m. Finnish time ( EET ) .
neutral	RAPALA TOURNAMENT FISHING : With all the major titles already out for the holidays , bargain-priced games such as Rapala aim for a smaller audience .
neutral	Basware Einvoices Oy will be merged into the parent company during the present fiscal period .
neutral	- Tikkurila inspires you to color your life .
neutral	Panostaja did not disclose the purchase price .
neutral	The second company acquired is Sweden 's Reftele Maskinservice AB , whose business is mainly field services and spare parts manufacturing , with 10 employees and 1.2 mln eur sales a year .
neutral	Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein .
neutral	Affecto has participated in the program for the development of the Norwegian pension system since 2007 .
neutral	Stora Enso will receive a 19.9 pct equity interest in the combined company .
positive	Metsaliitto said that it will book a minor gain of less than EUR1 .0 m from the transaction .
neutral	A total of 1,800,000 stock options were issued in the 2003 stock option scheme .
positive	Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn .
neutral	The expanded agreement covers the sale , marketing and distribution of Benefon 's navigation and locator devices in China .
neutral	LSC 's 30 employees will move to Ixonos with their existing status and benefits .
neutral	Following the payment made in April , the company has a total of EUR 23.0 million in loans from financial institutions .
neutral	The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .
neutral	Finnish consumers prefer to buy the cheapest beer brand .
neutral	Stichting Pensioenfonds ABP : 4 118 122 shares representing 5.19 % of the share capital and voting rights .
neutral	As a part of the agreement 10 employees from the John Deere Forestry documentation functions will transfer to DokuMentori Oy .
neutral	Combined net sales in 2006 were $ 27 million and EBITDA was $ 13.7 million .
neutral	Electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks .
positive	The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .
neutral	Erkki Jarvinen , President of Rautakirja and the head of the Sanoma Trade division , will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group .
neutral	Finnish Componenta has published its new long-term strategy for the period 2011-2015 with the aim of growing together with its customers .
neutral	The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .
neutral	The Russian government will contribute 20 % of the necessary funds , he said .
positive	- I am pleased that Bjorn Wahlroos has accepted the nomination .
neutral	The acquisition is part of Suomen Helasto 's strategy to expand the LukkoExpert Security chain , Suomen Helasto CEO Kimmo Uusimaki said .
positive	Net sales will , however , increase from 2005 .
neutral	Additionally , information on business segments , competitors and future outlook are provided .
neutral	In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .
neutral	The total value of the deal is USD 29mn .
positive	The original name Componenta +àm+Ñl , as a subsidiary of the Finnish Componenta Group , has been changed to +àm+Ñl Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 .
neutral	A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 .
positive	TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .
neutral	Olli-Pekka Kallasvuo was elected as vice chairman of the Board .
positive	Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .
positive	Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .
neutral	CF2 Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January 25 with 150 million shares ( 7.9 pc ) .
neutral	Finnish investor Scanfil Oyj ( HEL : SCF1V ) said last Friday it has bought 57 million shares , or 32.96 % , in Norwegian contract electronics manufacturer Kitron ASA ( OSL : KIT ) for NOK 143.9 million ( USD 24.4 m-EUR 18.1 m ) .
neutral	Also the traditional grapevine carries a lot of weight .
negative	Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 .
negative	Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .
neutral	The company does not disclose the sum it applied for .
neutral	Today the orange scissors are the iconic symbol of the excellent ergonomic design and superior quality associated with every product from Fiskars .
neutral	The proposal of the shareholders to elect Mr. Hannu Krogerus to the Board is based on his long and unrivalled experience and knowledge of all matters related to Elcoteq .
neutral	A CUT ABOVE Bring the outdoors in with these birch-branch coasters .
negative	Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 .
neutral	The restructuring measures will not affect the production of packaging printing material .
neutral	The original contract was signed last summer .
positive	Pretax profit jumped to EUR 21.9 million from EUR 3.1 million .
neutral	Finland-based international machinery rental company Ramirent Plc ( OMX Helsinki : RMR1V ) reported on Friday ( 15 August ) an operating profit of EUR65 .0 m on net sales of EUR342 .9 m for the period January-June 2008 .
positive	18 May 2010 - Finnish electronics producer Elcoteq SE HEL : ELQAV said today that it has signed an extensive cooperation agreement on industrialisation , manufacturing , distribution and after-market services for mobile phones with Japan 's Sharp TYO : 6753 .
neutral	ALEXANDRIA , Va. , Nov. 19 -- Erkki Aho , Elimaki , Finland , has developed a method and apparatus in conjunction with a shoe press .
neutral	Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program .
positive	Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .
positive	A new Kveyt light variety of Suomalainen Pekoni marketed under the Atria brand name is now available to consumers in Finland .
positive	The District Court of Helsinki dismissed all charges as the court of first instance in 2005 .
positive	Global Banking News - 28 September 2010 Tieto Corporation and Pohjola Bank ( PINK : POJLF ) are to cooperate on SWIFT services .
neutral	The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .
positive	MD Henning Bahr of Stockmann Gruppen praises the trend , since the chains become stronger and their decision-making processes more clear .
neutral	Aldata Solution Oyj Stock Exchange Release 11 August 2006 , at 11.00 am ALDATA SHARES SUBSCRIBED FOR WITH 2003 STOCK OPTIONS A total of 95,000 new shares of Aldata Solution Oyj have been subscribed for with the company 's 2003A stock options .
negative	Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate .
neutral	The world of glass is coming to Egypt and we invite Visitors from all around the world to attend Glass World Exhibition 2009 , Register Now at www.glassworldex.com
neutral	The new activity will incur an investment of about 5 MEUR .
negative	`` Small firms are suffering at the moment because they are likely to have money trouble , '' he added .
positive	This truly takes efficiency to new heights , '' Mr. Metso adds .
neutral	F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey .
neutral	Based in Helsinki , Finland , Ramirent has branches in 13 Nordic , central and Eastern European countries .
positive	`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''
neutral	Gunneflo will be responsible of Oriola-KD 's Pharmaceutical Trade business in Sweden .
neutral	The company designs , manufactures and markets advanced composite products for industrial applications and consumer goods such as cross-country , alpine and Nordic Walking poles , floorball sticks and antenna radomes .
positive	Earnings per share EPS amounted to EUR0 .03 , up from the loss of EUR0 .08 .
positive	Finnish consulting and engineering group Poyry Plc ( OMX Helsinki : POY ) said on Wednesday ( 1 October ) that it has been awarded a contract by Tanqia Dibba FZC as owner-engineer for the wastewater system of Dibba , Emirate of Fujairah , UAE .
neutral	The purchase sum is about EUR 10mn US$ 12.97 mn .
neutral	After the transaction , Tikkurila has no powder coatings related operations .
neutral	Lemminkainen Infra Oy 's subsidiary Lemminkainen Sverige AB will perform the construction work , which is expected to start in early 2011 and to be completed in the summer of 2013 .
negative	Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .
neutral	The acquisition does not have to be from the frozen foods or fish sector , as long as it has synergies with L+ñnnen Tehtaat 's other businesses .
neutral	The device can also be used for theft protection and positioning of vehicles , boats and other assets .
negative	Scanfil issued a profit warning on 10 April 2006 .
neutral	The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .
neutral	National sponsors for The Big Read include National Endowment for the Arts in cooperation with the Institute of Museum and Library Services and Arts Midwest .
neutral	In a note to clients published , the Dutch broker described the company 's third quarter results as ` soft ' , although it also noted that Elcoteq retained its guidance , dealers said .
neutral	The platen edges in contact with the band are provided with a seal having a protrusion directed towards the middle area of the platen , and means are provided to exert and maintain a pressure in the volume defined by the platen , the band and the seal . ''
neutral	N-Viro operates processing facilities independently as well as in partnership with municipalities .
neutral	Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .
neutral	Finnish Kemira Group 's CEO , Lasse Kurkilahti , says the Group 's structural reorganisation will continue for at least a year .
neutral	The power supplies , DC power systems and inverters designed and manufactured by Efore , and systems incorporating them are used in many different applications .
neutral	GenVec is a biopharmaceutical company developing novel therapeutic drugs and vaccines .
neutral	Delhaize Le Lion has selected the Aldata G.O.L.D. Vocal PDA solution on the Motorola WT4090 PDA terminal .
neutral	Nokia said it still expects to sell 150 more million Symbian devices in years to come , giving an indication of how it expects the Phone 7 handoff to work .
neutral	He joins Technopolis from KONE where he has held various positions within the Group , most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations .
neutral	The market value of one crane is some USD6m , reported the Finnish news agency STT .
neutral	BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay product suite .
neutral	The price will be specified at the completion date .
positive	Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .
positive	The new policy was also aimed at making the companies more profitable and competitive .
neutral	The technology will become available to businesses from the fourth quarter , Nokia said .
neutral	BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay solution suite .
positive	For example , net sales increased by 5.9 % from the first quarter , and EBITDA increased from a negative EUR 0.2 mn in the first quarter of 2009 .
neutral	Pharmaceutical market in Netherlands Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Netherlands .
neutral	The most significant challengers in the market are Logset and Sampo-Rosenlew .
neutral	The company 's operating profit for 2006 stood at 39.6 mln euro ( $ 57.9 mln ) .
neutral	ND = Not disclosed .
neutral	The recruits who have completed the K-retailer trainee program are qualified to start a career as independent retailers in K-stores .
neutral	However , in March 2009 , the government of St. Petersburg passed the front part of the building with the area 1,900 square metres and a land plot for a hotel worth USD 10-15mn to the company Delta .
neutral	The 5,000 megawatt wind farm being planned in Raahe would be built offshore in front of Ruukki 's Raahe Works .
positive	`` Last year , Finnair recorded a 32.6-percent growth on the Asian sector , carrying more than 1.10 million passengers between the two continents . ''
neutral	According to Gallup Food and Farm Facts , beef consumption totaled 99mn kilos in Finland in 2007 .
neutral	Headquartered in this city , the company is nearly 75 years old and focuses on science-based innovation and technology for environmental measurement .
neutral	The acquisition is expected to take place by the end of August 2007 .
neutral	Exel 's board of directors will propose a dividend of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on April 19 , 2007 .
neutral	The identity of the buyer is not yet known .
negative	The total need for staff cuts corresponds to about 300 man-years .
neutral	Founded in 1985 , Quatrocon 's clientele consists of public sector builders , central trading companies and major construction firms .
negative	In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier .
neutral	Sanoma also has an Executive Committee , in accordance with the Company 's Articles of Association , that prepares proposals for matters to be decided or noted by the Board of Directors .
positive	Finnish-owned contract manufacturer of electronics Elcoteq Hungary Kft has announced plans to recruit more than 650 new staffers to fulfill new orders in P+®cs , where the company has two plants .
negative	Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 .
neutral	The energy sector accounted for approximately 33 % and the steel industry for about 57 % of the transportation volume .
neutral	It is a member of the OneWorld alliance , which includes American Airlines and British Airways .
neutral	Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 .
neutral	Bluewin Security is available as a monthly subscription .
positive	Increased trust of our clients in YIT can be seen as apartment sales accelerated .
negative	Finnish electronics contract manufacturer Scanfil had net sales of EUR 52.2 mn in the first quarter of 2007 , down from EUR 60.1 mn a year before .
positive	Thus the method will cut working costs , and will fasten the planning and building processes .
neutral	The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 ,000 .
neutral	ALEXANDRIA , Va. , Jan. 9 -- United States Patent no. 7,862,685 , issued on Jan. 4 , was assigned to Kemira Chemicals Inc. ( Marietta , Ga. ) .
neutral	Incap , headquartered in Oulu , Finland , is a electronics contract manufacturer with some 750 employees in Finland , Estonia and India .
neutral	The recruitment is related to the relocation of Stora Enso 's research operations to Karlstad , central Sweden .
neutral	Cargotec will also move Hallberg-Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg .
neutral	The combined value of the orders is almost EUR 3mn .
neutral	Elcoteq expects its net sales for the last quarter of 2010 to be on the level of the third quarter .
neutral	Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .
neutral	Metsa-Botnia will finance the payment of dividends , the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the Uruguay operations , and shares in Pohjolan Voima , and by utilising its existing financing facilities .
negative	Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .
neutral	The opportunity will be available only for few employees , however .
neutral	Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .
positive	The metal has gained 41 percent this year as demand from China , the world 's largest user , increased .
neutral	No financial details were disclosed .
neutral	Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.397
neutral	With this , the company will exit the contract manufacturing service segment .
neutral	The plant is scheduled for completion in late February 2007 with hand over of some areas in January Two other suppliers of Nokia - Aspocomp Group Oyj and Perlos - have announced their plans to establish plants within the Nokia complex Together , they will invest Rs 365 crore .
negative	`` There 's the issue of thieves stealing them from building sites , '' said Mr Smith .
negative	The operating margin came down to 2.4 % from 5.7 % .
neutral	The shares carry a right to dividend and other shareholder rights as from their registration with the Finnish Trade Register .
neutral	To be number one means creating added value for stakeholders in everything we do .
neutral	M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '
neutral	The statutory negotiations at headquarters are part of this decrease .
negative	However , this increases signaling traffic which wastes network resources and allows fewer smartphones to connect .
neutral	M2 Communications disclaims all liability for information provided within information on on the world wide web .
neutral	ABN : 59 087 901 620 now represent 5.10 % of the voting rights and share capital of Citycon Oyj .
neutral	A Flurry Analytics spokesperson said that , as it was only measuring Windows Phone 7 data for some weeks , the firm double-checked the data to make sure the 66 per cent rise was not an aberration .
neutral	Global life science industry is strictly regulated by international and national authorities .
neutral	Amanda Capital has investments in 22 private equity funds and in over 200 unquoted companies mainly in Europe .
positive	By implementing the software the Finnish Army aims to unify and improve its operations in these application areas , QPR Software stated .
neutral	Kaupthing forecasts that Finnish-Swedish Stora Enso will close its mill in Reisholz , in Germany .
neutral	The shops are located in the capital region and the Paijat-Hame region .
positive	The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland .
neutral	The mill 's raw material need will increase by 100,000 m3 of wood .
positive	The company is now intensifying its smelter operations and increasing its annual production capacity to 230,000 tonnes of copper .
neutral	The Group 's consolidated net sales for 2008 totaled 3.4 billion euros and it employs approximately 13,000 persons .
neutral	However , two of the previously ordered sets will start producing electricity at the end of October 2010 , it said .
neutral	The value of this kind of order amounts usually between Euro 2 and 3 million .
neutral	Thus the group 's balance sheet will have about EUR25 .8 m of goodwill , the company added .
neutral	This corresponds to 6.81 percent of Okmetic 's share capital and voting rights .
negative	Operating profit excluding non-recurring items decreased to EUR 6.2 mn from EUR 16.8 mn in 2007 , representing 2.3 % of net sales .
positive	Incap Contract Manufacturing Services Private Limited has inked agreements with six new customers in India .
positive	As a domestic business , Best-In is already close to Finnish dog owners .
positive	A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .
negative	Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .
neutral	QPR product family is fully compatible with Microsoft 's Windows 7 operating system .
positive	Through the acquisition Solteq will expand its solutions offering by Microsoft 's Dynamics business software products .
neutral	The solution will be installed in the USA to support the North American operations of the customer .
neutral	In the video above Marimekko 's design manager , Noora Niiininoski , explains that the brands are a natural fit for each other because they both have a timeless style .
positive	comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .
neutral	The payment date is March 25 , 2010 .
positive	Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .
neutral	OMEO ( www.omeo.se ) employs 55 and expects net sales of some 23 mln euro ( $ 29.8 mln ) for fiscal 2006-2007 , ending April 30 , 2007 .
positive	The contract was signed in August with Papua New Guinea-based Lihir Gold Ltd ASX : LGL .
neutral	A maximum of 20 employees , who work in Karttakeskus and are responsible for producing Geographic Information Services , will be affected , the company added .
neutral	We offer our customers solutions based on renewable raw materials .
negative	Finnish Scanfil , a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of EUR 108.7 mn in the first half of 2008 , down from EUR 111.1 mn a year earlier .
